Gene,Model,AUPRC,AUROC,Brier,ECE
MYH7,Baseline RF,0.9089001141400497,0.7301002388583795,0.15205779214055276,0.1408729854337915
MYH7,Two-Tower Hybrid,0.8967319428668844,0.7070276082178172,0.3410365879535675,0.4490767370146259
MYBPC3,Baseline RF,0.6576614088032102,0.686692759295499,0.31412259252344815,0.29723579264108807
MYBPC3,Two-Tower Hybrid,0.5796457893443948,0.6102631006740595,0.3186732232570648,0.27719211224075796
TNNT2,Baseline RF,0.9156467340777025,0.7624955052139518,0.15264450488815862,0.1365292372084623
TNNT2,Two-Tower Hybrid,0.9113807141353617,0.7524271844660194,0.14561262726783752,0.06130956044563876
TNNI3,Baseline RF,0.9130892359908805,0.7130102040816326,0.13122220062128756,0.09400747583861778
TNNI3,Two-Tower Hybrid,0.9142049801046297,0.6785714285714286,0.14391449093818665,0.10558221754381208
TPM1,Baseline RF,0.9529902827198308,0.8323883770375621,0.11745716082185814,0.1324057650534728
TPM1,Two-Tower Hybrid,0.9067838172027047,0.7002126151665485,0.13652223348617554,0.09402547776699065
ACTC1,Baseline RF,0.9727636531803725,0.9078571428571429,0.11932894862497158,0.12524040367666217
ACTC1,Two-Tower Hybrid,0.8868392853796605,0.7457142857142857,0.1650884449481964,0.21492139389738438
MYL2,Baseline RF,0.8541780293875851,0.7488076311605724,0.17353387322458194,0.08893684335482578
MYL2,Two-Tower Hybrid,0.791787038000733,0.6216216216216216,0.21428929269313812,0.08460643887519839
MYL3,Baseline RF,0.7750957009914229,0.7212121212121212,0.24204054054054056,0.16340213840213846
MYL3,Two-Tower Hybrid,0.7888058926255143,0.7121212121212122,0.24725797772407532,0.18026192768200025
TNNC1,Baseline RF,0.8920092836564746,0.7788461538461539,0.1554623019076607,0.09933748674926314
TNNC1,Two-Tower Hybrid,0.818876619779479,0.5346153846153845,0.2704658508300781,0.2628712745176421
