Gene,Model,AUPRC,AUROC,Brier,ECE
MYH7,Baseline RF,0.908377290429802,0.7291305146683544,0.16676508748736255,0.1818981750957139
MYH7,Two-Tower Hybrid (Tuned),0.8856057370299448,0.6706340294932256,0.4457063840692859,0.5484376512770116
MYBPC3,Baseline RF,0.6355112926734358,0.6899760817569036,0.27335592254503993,0.22718629272264662
MYBPC3,Two-Tower Hybrid (Tuned),0.6672984912183859,0.689562948467058,0.23700677910083967,0.1062543442893973
TNNT2,Baseline RF,0.9228297022531649,0.7635742538655159,0.16110396110546535,0.15242533608383949
TNNT2,Two-Tower Hybrid (Tuned),0.9307098486541131,0.7700467457749012,0.16473816189192925,0.1558263537975458
TNNI3,Baseline RF,0.9302826363952037,0.738265306122449,0.14260755523255775,0.15390319756080104
TNNI3,Two-Tower Hybrid (Tuned),0.9379301598396155,0.7612244897959184,0.15119504598205577,0.18388871015128438
TPM1,Baseline RF,0.9666244527014634,0.8547129695251594,0.12483968765960576,0.17943942478937308
TPM1,Two-Tower Hybrid (Tuned),0.8863816051637519,0.7030474840538625,0.16443290427143015,0.19882463306188586
ACTC1,Baseline RF,0.9652413469168678,0.8914285714285713,0.13635009966474865,0.17173835819824698
ACTC1,Two-Tower Hybrid (Tuned),0.9548466305498831,0.8728571428571429,0.15470587697018975,0.21469840919598937
MYL2,Baseline RF,0.8547723545430579,0.7281399046104928,0.18420377213683514,0.11588124674434853
MYL2,Two-Tower Hybrid (Tuned),0.8346092891942436,0.7170111287758346,0.19080747328403144,0.0978052428475133
MYL3,Baseline RF,0.851550399815338,0.7363636363636363,0.22622129667696608,0.1492472321267346
MYL3,Two-Tower Hybrid (Tuned),0.8063914200814051,0.7121212121212122,0.2203080086831039,0.12443701177835464
TNNC1,Baseline RF,0.9357446377379386,0.8423076923076923,0.15615601590981432,0.12760132032223595
TNNC1,Two-Tower Hybrid (Tuned),0.6927752583655561,0.35,0.2321657913466728,0.1686328997214635
