Hidden_Size,ESM_Dim,AUPRC,AUROC,Brier,ECE
32,50,0.8391378966090354,0.6935843134580782,0.23553164989646516,0.20281941450430302
32,100,0.8162139186251989,0.6474256638539447,0.2605565342355937,0.23672768026173152
32,1280,0.8660761315367728,0.7219576287929701,0.2415688097618628,0.22421414241039994
64,50,0.8376454380558906,0.6830523782114862,0.23770072182744173,0.21084582522180315
64,100,0.8094397750733429,0.6520337148047102,0.25387589337920863,0.2334365168701302
64,1280,0.8586081634742252,0.7265281181678361,0.23708483167272323,0.22088736183932114
128,50,0.833891887547294,0.6915865573390318,0.2551552771909403,0.22559792315005112
128,100,0.8429121586710249,0.6732483176825765,0.25584281789427094,0.2210934731796843
128,1280,0.8405186859644238,0.6977633196631926,0.2687066712148795,0.25239658433612955
