Gene,Two_Tower_AUPRC,Baseline_RF_AUPRC,EVE_AUPRC,AlphaMissense_AUPRC,Two_Tower_AUROC,Baseline_RF_AUROC,EVE_AUROC,AlphaMissense_AUROC,N_evaluated,N_total
ACTC1,0.9548,0.9664,0.8851,0.8741,0.8729,,0.6607,0.6414,64,64
MYBPC3,0.6673,0.6412,0.6355,0.643,0.6896,,0.6011,0.6061,435,429
MYH7,0.8856,0.9086,0.8726,0.8803,0.6706,,0.6217,0.638,1004,986
MYL2,0.8346,0.8593,0.7234,0.7326,0.717,,0.5898,0.558,54,54
MYL3,0.8064,0.846,0.624,0.6156,0.7121,,0.5227,0.5091,37,37
TNNC1,0.6928,0.9339,0.8112,0.8402,0.35,,0.5231,0.6,36,36
TNNI3,0.9379,0.9323,0.8873,0.8944,0.7612,,0.6589,0.6913,118,118
TNNT2,0.9307,0.9205,0.8115,0.8276,0.77,,0.5518,0.5631,142,130
TPM1,0.8864,0.9649,0.8653,0.8944,0.703,,0.5532,0.6244,100,100
