Model,ROC‑AUC,PR‑AUC,Accuracy (opt),Balanced Acc (opt),F1‑macro (opt),Recall Benign,Recall Path
Tuned XGBoost,0.7402118141370853,0.8638894592559132,0.77021494370522,0.5818361734392269,0.5799943606439972,0.18518518518518517,0.9784871616932685
CNN,0.7934129022919703,0.9049441111637957,0.7287615148413511,0.7257143552844638,0.6906306758436096,0.7192982456140351,0.7321304649548924
Ensemble,0.822241431321383,0.9141090752438912,0.7420675537359263,0.752938518707904,0.7095280792826806,0.7758284600389863,0.7300485773768216
